Data,Hora,Ano,Mês,Site,Manchete,Polaridade
22/01/2009,09:15:00,2009,janeiro,Só Notícias,Lucas R.Verde: polícia aguarda laudos da execução de homem,0
28/01/2009,15:22:00,2009,janeiro,Só Notícias,Nortão: caminhonete bate em poste e descarga elétrica mata 2,1
28/01/2009,17:04:00,2009,janeiro,Só Notícias,Bombeiros controlam incêndio em agência bancária em Cuiabá,1
04/02/2009,09:23:00,2009,fevereiro,Só Notícias,Casal preso com drogas em Alta Floresta é indiciado por tráfico,1
04/02/2009,18:02:00,2009,fevereiro,Só Notícias,Dono de empresa é preso em Sinop acusado de furto de energia,1
09/02/2009,16:47:00,2009,fevereiro,Só Notícias,Apreendido carro ‘dublê’ em Mato Grosso: 2 são presos,1
11/02/2009,17:14:00,2009,fevereiro,Só Notícias,Rondonópolis: polícia suspeitava de túnel em presídio mas acabou encontrando drogas,1
17/02/2009,08:54:00,2009,fevereiro,Só Notícias,Jovem morre esmagado por tora em Sinop,1
18/02/2009,09:19:00,2009,fevereiro,Só Notícias,Polícia instaura inquérito para apurar morte de jovem em Sinop,1
15/03/2009,00:06:00,2009,março,Só Notícias,Sinop: policial é encontrado morto em casa,1
19/03/2009,07:56:00,2009,março,Só Notícias,Peritos se reúnem com Riva e pedem apoio para concurso público,0
26/03/2009,07:11:00,2009,março,Só Notícias,"Alta Floresta: R$ 345,2 mil serão investidos na construção de Politec",2
03/04/2009,00:01:00,2009,abril,Só Notícias,Alta Floresta: lideranças cobrarão de Diogenes reforço na segurança,0
08/04/2009,13:21:00,2009,abril,Só Notícias,Alta Floresta: vereadores cobram reforço no efetivo policial e viaturas,0
22/04/2009,14:01:00,2009,abril,Só Notícias,ABIN treina policiais e servidores em Mato Grosso,2
18/05/2009,13:50:00,2009,maio,Só Notícias,Sema começa definir estratégias para combater queimadas no Estado,1
20/05/2009,09:20:00,2009,maio,Só Notícias,Três fetos são encontrados enterrados em Alta Floresta,1
29/05/2009,15:44:00,2009,maio,Só Notícias,Corpo de universitária será exumado amanhã em Mato Grosso,2
02/06/2009,07:04:00,2009,junho,Só Notícias,Começa construção da Politec em Alta Floresta,2
11/06/2009,15:30:00,2009,junho,Só Notícias,Rondonópolis: preso jovem acusado de assassinato,1
12/06/2009,08:07:00,2009,junho,Só Notícias,Vingança pode ter motivado assassinato em Rondonópolis,1
15/06/2009,15:17:00,2009,junho,Só Notícias,Vereadores prestigiam entrega de viatura a Polícia Civil de Sorriso,2
16/06/2009,09:37:00,2009,junho,Só Notícias,Sinop: prefeito quer construir base comunitária de segurança,1
30/06/2009,17:43:00,2009,junho,Só Notícias,Técnicos da Sejusp garantem vinda da Politec para Sorriso,2
01/07/2009,09:52:00,2009,julho,Só Notícias,Câmara de Alta Floresta faz última sessão antes do recesso,1
29/07/2009,08:14:00,2009,julho,Só Notícias,MT: local onde 5 ladrões de banco morreram será periciado hoje,2
09/10/2009,11:19:00,2009,outubro,Só Notícias,Sejusp fará seletivo na Politec e destina vagas para Sorriso e Rondonópolis,2
13/10/2009,11:24:00,2009,outubro,Só Notícias,Começam hoje inscrições para o processo seletivo da Politec,2
27/01/2010,16:31:00,2010,janeiro,Só Notícias,Mato Grosso tem 200 mil vagas para cursos à distância da Politec,2
03/03/2010,14:40:00,2010,março,Só Notícias,Sinop: IML e Politec ficam sem 12 profissionais devido a término de contratos,0
04/03/2010,09:29:00,2010,março,Só Notícias,Prefeitura confirma área para Politec em Sorriso e conclui projeto,2
08/03/2010,10:41:00,2010,março,Só Notícias,Aprovados no processo seletivo da Politec tem até 4ª para se apresentarem,2
09/03/2010,22:31:00,2010,março,Só Notícias,Nortão: perícia analisa atentado e GAECO protege promotora,2
12/03/2010,15:05:00,2010,março,Só Notícias,Peritos de Sinop vão a Colíder colher provas de homicídio,2
26/03/2010,16:28:00,2010,março,Só Notícias,Sinop: aprovados em processo seletivo da Politec assumem cargo,2
29/03/2010,07:07:00,2010,março,Só Notícias,Lucas: concluído laudo da perícia sobre atentado na casa de promotora,2
19/05/2010,08:09:00,2010,maio,Só Notícias,Politec começa periciar nos municípios caminhões superfaturados,2
19/05/2010,17:23:00,2010,maio,Só Notícias,Perícia em caminhões superfaturados começa pela região Noroeste,2
19/05/2010,18:59:00,2010,maio,Só Notícias,Procurador entrega no TRF recurso sobre perícia em caminhões,2
29/05/2010,07:47:00,2010,maio,Só Notícias,Sema: projetos com suspeitas de fraudes serão periciados,2
28/06/2010,07:16:00,2010,junho,Só Notícias,Sorriso: perícia ajuda polícia tentar achar criança desaparecida,2
07/07/2010,13:49:00,2010,julho,Só Notícias,Sorriso: vereador critica demora na instalação da Caixa e Politec,0
16/07/2010,07:06:00,2010,julho,Só Notícias,Sorriso: perícia sobre caso do sumiço de criança ainda não está pronta,0
20/07/2010,13:07:00,2010,julho,Só Notícias,"Perícia em maquinários superfaturados não parou, diz polícia",2
06/08/2010,11:11:00,2010,agosto,Só Notícias,Alta Floresta: sede da Politec será inaugurada em setembro,2
13/08/2010,11:00:00,2010,agosto,Só Notícias,Polícia e perícia investigam incêndio em 15 madeireiras e 100 casas,2
20/08/2010,16:30:00,2010,agosto,Reporter MT,Peritos de MT fazem curso de CSI nos EUA,2
27/08/2010,07:18:00,2010,agosto,Só Notícias,Marcelândia: conclusão de inquérito sobre grande incêndio depende de laudo,0
08/11/2010,18:31:00,2010,novembro,Só Notícias,Procurador questiona juiz sobre perícia em maquinários superfaturados,0
16/11/2010,16:33:00,2010,novembro,Midia News,Governo recorre contra perícia determinada pelo juiz Julier,0
14/02/2011,20:23:00,2011,fevereiro,Só Notícias,Deputado cobra construção de sede para Politec em Sorriso,0
22/02/2011,10:08:00,2011,fevereiro,Reporter MT,Atestados emitidos por Ubiratan Barbalho serão periciados,2
22/02/2011,18:42:00,2011,fevereiro,Só Notícias,Bomba desarmada em frente de creche em MT vai para perícia,2
15/03/2011,14:35:00,2011,março,Midia News,Noventa e nove peritos e técnicos são nomeados para a Politec,2
23/03/2011,19:43:00,2011,março,Só Notícias,Politec implanta sistema inédito de laudos com assinatura digital,2
15/04/2011,13:32:00,2011,abril,Só Notícias,Sorriso: área para construir a Politec será votada 2ª,2
19/04/2011,11:29:00,2011,abril,Só Notícias,Sorriso: câmara aprova doação de área para construir a Politec,2
29/04/2011,15:12:00,2011,abril,Midia News,Politec recebe 20 maletas importadas dos EUA,2
22/06/2011,11:58:00,2011,junho,Só Notícias,Cuiabá: perícia atesta que agente prisional morreu devido golpe de chucho,2
22/06/2011,19:57:00,2011,junho,Reporter MT,"IML confirma tiro mas diz que agente morreu por golpes de ""chuço""",2
24/06/2011,14:40:00,2011,junho,Reporter MT,Oito pedem demissão depois de motim e morte de agente,0
30/06/2011,11h:12,2011,junho,Gazeta Digital,AL aprova reajustes para servidores da Politec e Intermat,2
08/08/2011,07:02:00,2011,agosto,Só Notícias,Politec de Sorriso deve ficar pronta até final do ano,2
16/08/2011,14:20:00,2011,agosto,Só Notícias,Marcelândia: 1 ano depois laudo do incêndio em madeireiras e casas não está pronto,0
16/08/2011,12h:42,2011,agosto,Gazeta Digital,Pátio da Politec também pega fogo e queima vários carros,0
27/09/2011,17:50:00,2011,setembro,Só Notícias,Lançada obra da Politec em Sorriso,2
28/09/2011,12h:57,2011,setembro,Gazeta Digital,Politec de Sorriso começa a ser construída,2
09/10/2011,19:45:00,2011,outubro,Midia News,Politec usa funerárias para transportar corpos,0
22/12/2011,14:25:00,2011,dezembro,Só Notícias,Cuiabá: novo complexo da Politec será construído em 2012,2
22/12/2011,16:55:00,2011,dezembro,Midia News,Novo Complexo da Politec será edificado em Cuiabá,2
22/12/2011,15h:15,2011,dezembro,Gazeta Digital,Novo Complexo da Politec será construído em Cuiabá,2
12/01/2012,07:22:00,2012,janeiro,Só Notícias,Alta Floresta: laudo confirma alta velocidade em viatura que atropelou jovem,2
01/02/2012,15:34:00,2012,fevereiro,Reporter MT,Perícia começa hoje sem previsão para ser concluída; perda é total,0
01/02/2012,15:34:00,2012,fevereiro,Reporter MT,Perícia começa hoje sem previsão para ser concluída; perda é total,0
02/02/2012,07:28:00,2012,fevereiro,Reporter MT,Falta de peritos da Politec faz inquérito se arrastar,0
06/03/2012,20:52:00,2012,março,Só Notícias,Laudo médico aponta que mãe que abandonou bebê não sabia o que fazia,2
06/03/2012,18h:19,2012,março,Gazeta Digital,"Mãe que abandonou bebê não sabia o que fazia, diz laudo médico",2
14/03/2012,14:21:00,2012,março,Só Notícias,IML entrega amanhã rebecões para Sinop e Alta Floresta,2
16/03/2012,07:09:00,2012,março,Só Notícias,Sede da Politec de Sorriso deve ser concluída até maio,2
27/03/2012,08h:58,2012,março,Gazeta Digital,Agente da Politec e Federal alegam que atiraram em legítima defesa,0
28/03/2012,17:36:00,2012,março,Midia News,Técnico da Politec será afastado durante investigações,0
25/04/2012,11:58:00,2012,abril,Só Notícias,Identificados 3 mortos em acidente; corpos estão no IML Sinop,2
28/04/2012,14:03:00,2012,abril,Midia News,PM e Politec propõe nivelamento técnico,2
04/05/2012,11:25:00,2012,maio,Midia News,Família acusa Politec de descaso na perícia em cadáver,0
08/05/2012,11h:45,2012,maio,Gazeta Digital,Politec realiza seminário nacional de DNA  em Cuiabá,2
23/05/2012,15:23:00,2012,maio,Só Notícias,Politec de Sorriso será inaugurada amanhã,2
23/05/2012,16:09:00,2012,maio,Só Notícias,Politec de Sorriso obras concluídas 2012 (SN/Ivan),2
23/05/2012,16:09:00,2012,maio,Só Notícias,Politec de Sorriso obras concluídas 2012 (SN/Ivan),2
25/05/2012,16h:47,2012,maio,Gazeta Digital,Politec ganha nova sede no município de Sorriso,2
05/06/2012,16h:14,2012,junho,Gazeta Digital,"Mãe é indiciada por morte de bebê, delegada aguarda DNA",0
21/06/2012,09:50:00,2012,junho,Só Notícias,Carlos Ferraciolli assume gerência da Politec em Sinop,2
25/06/2012,07:07:00,2012,junho,Só Notícias,"Sinop: instalação de delegacias especializadas está atrasada, avalia delegado",0
26/06/2012,07:09:00,2012,junho,Só Notícias,Peritos de Sinop concluirão laudo de reconstituição do acidente com morte,2
27/07/2012,07:27:00,2012,julho,Só Notícias,Alta Floresta: concluído laudo de reconstituição de acidente que matou jovem,2
11/08/2012,09:06:00,2012,agosto,Só Notícias,Motorista embriagado atropela perita da Politec em Cuiabá,1
11/08/2012,09:27:00,2012,agosto,Reporter MT,Motorista bêbado atropela perita que atendia ocorrência de trânsito,1
11/08/2012,08h:27,2012,agosto,Gazeta Digital,Motorista bêbado atropela perita da Politec em Cuiabá,1
28/08/2012,07:04:00,2012,agosto,Só Notícias,IML de Sinop começa receber nova câmara fria,2
28/08/2012,08:27:00,2012,agosto,Reporter MT,"Após 3 meses, não há laudos, provas, nem indiciados pelo crime",0
04/09/2012,07:36:00,2012,setembro,Reporter MT,"Politec não termina laudo e inquérito sobre ""acidente"" se arrasta",0
05/09/2012,12:09:00,2012,setembro,Reporter MT,"Advogada passou reto e não pisou nos freios, aponta laudo",2
22/10/2012,07:03:00,2012,outubro,Reporter MT,"Sem peritos e laudos, inquérito sobre incêndio se arrasta há 1 ano",0
24/10/2012,08:55:00,2012,outubro,Reporter MT,Politec treina mesários para identificação de documentos falsos,2
11/11/2012,10:17:00,2012,novembro,Reporter MT,"Viatura da Politec, fora de serviço, abusa de sirene na Getúlio em pleno sábado à noite",0
12/11/2012,14:38:00,2012,novembro,Só Notícias,Nortão: perícia diz que mulher carbonizada em acidente será identificada através de DNA,2
08/12/2012,07:28:00,2012,dezembro,Só Notícias,Nortão: perícia deve concluir causas da queda de caminhão no rio em 30 dias,2
29/12/2012,07:21:00,2012,dezembro,Só Notícias,Convênio assegura R$ 599 mil para reaparelhar Politec em MT,2
07/02/2013,10:24:00,2013,fevereiro,Só Notícias,Sorriso: vereadores cobram abertura da Politec inaugurada no ano passado,0
25/02/2013,10h:39,2013,fevereiro,Gazeta Digital,Caramuru deixa comando do IML de Cuiabá,0
06/04/2013,17:19:00,2013,abril,Só Notícias,Laudo deve esclarecer morte de criança em canavial em Tangará,2
06/04/2013,14h:04,2013,abril,Gazeta Digital,Delegada aguarda laudo para encontrar estuprador de criança achada morta em canavial,0
11/04/2013,14:58:00,2013,abril,Só Notícias,Politec não confirma 3ª morte em acidente em Mato Grosso,0
13/05/2013,15h:02,2013,maio,Gazeta Digital,Politec nega atos de vandalismo e confirma atentados,0
16/05/2013,13:31:00,2013,maio,Só Notícias,Vereadores cobram equipamentos para Politec de Sorriso,0
05/06/2013,18:41:00,2013,junho,Só Notícias,Politec começa a emitir apenas laudos online,2
05/06/2013,17h:30,2013,junho,Gazeta Digital,Politec passa a emitir laudos só pela internet,2
06/06/2013,08:18:00,2013,junho,Midia News,Perícia Técnica começa a emitir apenas laudos online,2
16/07/2013,11:30:00,2013,julho,Midia News,Unidades da Politec na fronteira recebem novos rabecões,2
16/07/2013,15h:03,2013,julho,Gazeta Digital,Unidades da Politec na fronteira recebem novos rabecões,2
19/07/2013,14h:27,2013,julho,Gazeta Digital,TJMT determina perícia sob suspeita de venda de sentença,2
27/08/2013,10:12:00,2013,agosto,Só Notícias,"Definidas 190 vagas no concurso da Politec em MT; salário é R$ 7,6 mil",2
02/09/2013,20:30:00,2013,setembro,Só Notícias,"Politec em MT oferece 190 vagas com salário inicial de R$ 7,6 mil",2
02/09/2013,07h:50,2013,setembro,Gazeta Digital,Inscrições para concurso da Politec começam hoje,2
10/09/2013,15:36:00,2013,setembro,Só Notícias,Politec recebe equipamentos para criminalística e medicina legal,2
14/09/2013,11h:08,2013,setembro,Gazeta Digital,Presidente do TJ solicita perícia em prédio incendiado em Cuiabá,2
27/09/2013,07:13:00,2013,setembro,Só Notícias,Terminam domingo inscrições para 190 vagas da Politec; 8 para Sinop,2
30/09/2013,12:54:00,2013,setembro,Só Notícias,Irmãos mortos a tiros em Terra Nova do Norte (politec),1
30/09/2013,12:54:00,2013,setembro,Só Notícias,Irmãos mortos a tiros em Terra Nova do Norte (politec),1
17/10/2013,16:40:00,2013,outubro,Só Notícias,Concurso público com vagas para Politec será domingo em Cuiabá,2
17/10/2013,20:56:00,2013,outubro,Midia News,Concurso da Politec acontecerá domingo em Cuiabá,2
18/10/2013,08:09:00,2013,outubro,Midia News,Concurso da Politec acontece domingo em Cuiabá,2
22/10/2013,10:55:00,2013,outubro,Só Notícias,Politec quer mais prazo para concluir laudo do incêndio em Tribunal Justiça,0
22/10/2013,15h:37,2013,outubro,Gazeta Digital,Politec pede mais 30 dias para concluir laudo do incêndio em gráfica do TJ,0
23/10/2013,06:40:00,2013,outubro,Reporter MT,Perícia pede mais 30 dias para apurar causas do incêndio do TJ,0
04/11/2013,15:15:00,2013,novembro,Midia News,Servidores da Politec participam de 3ª etapa do Programa,2
26/11/2013,18h:47,2013,novembro,Gazeta Digital,Perícia Oficial elabora plano de ações para desastres e catástrofes,2
29/11/2013,18:12:00,2013,novembro,Só Notícias,Peritos criminais de MT paralisam as atividades na próxima semana,0
02/12/2013,10:00:00,2013,dezembro,Reporter MT,Peritos criminais de MT param por um dia para cobrar pagamento de adicional,0
02/12/2013,13h:56,2013,dezembro,Gazeta Digital,Laudo aponta que incêndio foi intencional,2
03/12/2013,07:36:00,2013,dezembro,Só Notícias,Cuiabá: laudo aponta que incêndio na Arena Pantanal foi criminoso,2
03/12/2013,14:45:00,2013,dezembro,Reporter MT,Laudo da Politec diz que incêndio no estádio da Copa foi criminoso,2
04/12/2013,09:52:00,2013,dezembro,Só Notícias,Peritos criminais paralisam atividades; profissionais de Sinop aderem,0
04/12/2013,09h:07,2013,dezembro,Gazeta Digital,Peritos criminais paralisam as atividades nesta quarta-feira,0
05/12/2013,11:07:00,2013,dezembro,Só Notícias,Peritos criminais devem decidir hoje se iniciam greve em MT,0
07/12/2013,08h:39,2013,dezembro,Gazeta Digital,Homem é executado com 9 tiros e continua sem identificação no IML,0
09/12/2013,10:01:00,2013,dezembro,Reporter MT,Família morre em batida de carro com bitrem; corpos já foram liberados pelo IML,2
27/12/2013,14:15:00,2013,dezembro,Só Notícias,Todos profissionais da Politec trabalharão durante a copa,2
18/01/2014,15h:41,2014,janeiro,Gazeta Digital,Pedro Henry pede para trabalhar no IML de Cuiabá,2
22/01/2014,08:51:00,2014,janeiro,Reporter MT,Laudo da Politec afirma que não houve \'montagem\' em vídeo que João Emanuel aparece,2
22/01/2014,10:30:00,2014,janeiro,Midia News,Perícia diz que vídeo sobre fraude na Câmara é autêntico,2
22/01/2014,16:04:00,2014,janeiro,Só Notícias,Cuiabá: Comissão de Ética pedirá cópia do laudo da Politec,2
22/01/2014,06h:00,2014,janeiro,Gazeta Digital,Exclusivo: Laudo atesta que não houve montagem em vídeo,2
22/01/2014,11h:05,2014,janeiro,Gazeta Digital,"Comissão de Ética pedirá cópia do laudo da Politec, diz Souza",2
29/01/2014,15h:41,2014,janeiro,Gazeta Digital,"Peritos cobram antecipado por medo de 'calote' do Estado, mas TJ nega pagamento",0
03/02/2014,08h:10,2014,fevereiro,Gazeta Digital,Laudo confirma que assinatura em procuração de terrenos é de Érica,2
03/02/2014,17h:27,2014,fevereiro,Gazeta Digital,Politec começa emissão de laudos online,2
04/02/2014,08:13:00,2014,fevereiro,Midia News,Politec inicia emissão de laudos on-line,2
04/02/2014,13:30:00,2014,fevereiro,Só Notícias,Politec inicia emissão de laudos on-line em Mato Grosso,2
10/02/2014,08:06:00,2014,fevereiro,Só Notícias,IML de Mato Grosso não suportará demanda,0
13/02/2014,18h:01,2014,fevereiro,Gazeta Digital,"Sem resposta, Perri cobra conclusão do laudo pela Politec",0
14/02/2014,10:05:00,2014,fevereiro,Midia News,Perri cobra à Politec laudo de incêndio em prédio do TJ,0
14/02/2014,17h:45,2014,fevereiro,Gazeta Digital,MPF solicita à Secopa laudos e consequências de incêndio na Arena Pantanal,0
17/02/2014,19h:00,2014,fevereiro,Folhamax,AGE retoma Programa de Controle Disciplinar com palestra aos novos servidores da Politec,2
27/02/2014,18h:32,2014,fevereiro,Gazeta Digital,Civil ainda aguarda armas de PMs para exames de balística,0
03/03/2014,18:21:00,2014,março,Só Notícias,Prédio da Politec em Cuiabá tem 24 problemas estruturais,0
